GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M000000_A146018-101-xxx_NA_1450.99_PRED_VAR5_ALK_Unknown#sst-cgl-026,Unknown#sst-cgl-026,,,,,,,,,,,,,1450.99
M000000_A147001-101-xxx_NA_1458.44_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1458.44
M000728_A147003-101-xxx_NA_1454.09_PRED_VAR5_ALK_Ornithine-1.5-lactam (2TMS),Ornithine-1.5-lactam,,,,,,,,34294-79-6,InChI=1S/C5H10N2O/c6-4-2-1-3-7-5(4)8/h4H.1-3.6H2.(H.7.8),C11H26N2OSi2,258.508,,1454.09
M000478_A147004-101-xxx_NA_1456.08_TRUE_VAR5_ALK_Decanoic acid (1TMS),Decanoic acid,Capric acid,HMDB0000511,2969,30813,C01571,336,CCCCCCCCCC(=O)O,334-48-5,InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2.1H3.(H.11.12),C13H28O2Si,244.446,,1456.08
M000000_A147005-101-xxx_NA_1462.03_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1462.03
M001231_A147006-101-xxx_NA_1462.71_TRUE_VAR5_ALK_N-Carboxyglycine (3TMS),N-Carboxyglycine,,,,,,,,,InChI=1S/C3H5NO4/c5-2(6)1-4-3(7)8/h4H.1H2.(H.5.6)(H.7.8),C12H29NO4Si3,UCWMWNHWCYYDTD-UHFFFAOYSA-N,,1462.71
M000870_A147007-101-xxx_NA_1460.08_PRED_VAR5_ALK_Siloxane,Siloxane,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,1460.08
M000464_A147008-101-xxx_NA_1445.33_TRUE_VAR5_ALK_Threose (1MEOX) (3TMS) MP,Threose,Erythrose,HMDB0002649,439574,23956,C01796,289,C1[C@H]([C@H](C(O1)O)O)O,29884-64-8,InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1.3-4.6-8H.2H2,C14H35NO4Si3,365.689,,1445.33
M000266_A147009-101-xxx_NA_1455.33_PRED_VAR5_ALK_Homoserine. beta-. DL- (3TMS),Homoserine. beta-. DL-,L-Homoserine,HMDB0000719,12647,15699,C00263,5687,C(CO)[C@@H](C(=O)O)N,16504-56-6,InChI=1S/C4H9NO3/c5-3(2-6)1-4(7)8/h3.6H.1-2.5H2.(H.7.8)/t3-/m1/s1,C13H33NO3Si3,335.663,,1455.33
M001117_A147010-101-xxx_NA_1456.15_TRUE_VAR5_ALK_Oxaloacetate (1MEOX) (2TMS) MP,Oxaloacetate,Oxalacetic acid,HMDB0000223,970,30744,C00036,123,C(C(=O)C(=O)O)C(=O)O,328-42-7,InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2.(H.6.7)(H.8.9),C11H23NO5Si2,305.475,,1456.15
M000000_A147011-101-xxx_NA_1464.11_TRUE_VAR5_ALK_NA147011 (classified unknown),NA147011 (classified unknown),,,,,,,,,,,,,1464.11
M000034_A147012-101-xxx_NA_1470.46_TRUE_VAR5_ALK_Proline. 4-hydroxy-. trans- (2TMS),Proline. 4-hydroxy-. trans-,4-Hydroxy-L-proline,HMDB0006055,69248,18240,C01015,,C1[C@H](NCC1O)C(=O)O,51-35-4,InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4.6-7H.1-2H2.(H.8.9)/t3-.4+/m1/s1,C11H25NO3Si2,PMMYEEVYMWASQN-DMTCNVIQSA-N,,1470.46
M000271_A147013-101-xxx_NA_1474.27_TRUE_VAR5_ALK_Nicotinamide (2TMS),Nicotinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,C1=CC(=CN=C1)C(=O)N,98-92-0,InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H.(H2.7.9),C12H22N2OSi2,266.487,,1474.27
M000665_A147014-101-xxx_NA_0_FALSE_VAR5_ALK_Butyro-1.4-lactam. 2-amino- (2TMS),Butyro-1.4-lactam. 2-amino-,,,,,,,,616-45-5,InChI=1S/C4H8N2O/c5-3-1-2-6-4(3)7/h3H.1-2.5H2.(H.6.7),C10H24N2OSi2,244.482,,0
M000933_A147015-101-xxx_NA_1477.49_TRUE_VAR5_ALK_Cysteine. seleno-methyl- (2TMS),Cysteine. seleno-methyl-,Se-Methylselenocysteine,HMDB0004113,147004,27812,C05689,7019,C[Se]C[C@@H](C(=O)O)N,26046-90-2,InChI=1S/C4H9NO2Se/c1-8-2-3(5)4(6)7/h3H.2.5H2.1H3.(H.6.7)/t3-/m0/s1,C10H23NO2SSeSi2,356.492,,1477.49
M000900_A147016-101-xxx_NA_1477.25_TRUE_VAR5_ALK_Diisopropanolamine (3TMS),Diisopropanolamine,,,,,,,,110-97-4,InChI=1S/C6H15NO2/c1-5(8)3-7-4-6(2)9/h5-9H.3-4H2.1-2H3,C15H39NO2Si3,349.733,,1477.25
M000934_A147017-101-xxx_NA_1478.12_TRUE_VAR5_ALK_Octylamine (2TMS),Octylamine,NA,,,,,,,111-86-4,InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2.1H3,C14H35NSi2,273.606,,1478.12
M000935_A147018-101-xxx_NA_1479.75_TRUE_VAR5_ALK_Thymine. 5.6-dihydro- (1TMS),Thymine. 5.6-dihydro-,Dihydrothymine,HMDB0000079,93556,27468,C00906,5135,CC1CNC(=O)NC1=O,,InChI=1S/C5H8N2O2/c1-3-2-6-5(9)7-4(3)8/h3H.2H2.1H3.(H2.6.7.8.9),C8H16N2O2Si,200.311,,1479.75
M000000_A147021-101-xxx_NA_1475.68_TRUE_VAR5_ALK_NA_204_189_119_93_79,NA_204_189_119_93_79,,,,,,,,,,,,,1475.68
M000000_A147022-101-xxx_NA_1477.72_TRUE_VAR5_ALK_NA147022,NA147022,,,,,,,,,,,,,1477.72
M000000_A147023-101-xxx_NA_1479.39_TRUE_VAR5_ALK_NA147023,NA147023,,,,,,,,,,,,,1479.39
M000000_A147024-101-xxx_NA_1469.78_PRED_VAR5_ALK_Unknown#sst-cgl-028,Unknown#sst-cgl-028,,,,,,,,,,,,,1469.78
M000000_A147025-101-xxx_NA_1463.35_PRED_VAR5_ALK_Unknown#bth-pae-031,Unknown#bth-pae-031,,,,,,,,,,,,,1463.35
M000066_A148001-101-xxx_NA_1464.37_TRUE_VAR5_ALK_Malic acid. 2-methyl- (3TMS),Malic acid. 2-methyl-,Citramalic acid,HMDB0000426,1081,15584,C00815,5415,CC(CC(=O)O)(C(=O)O)O,6236/9/5,InChI=1S/C5H8O5/c1-5(10.4(8)9)2-3(6)7/h10H.2H2.1H3.(H.6.7)(H.8.9)/t5-/m1/s1,,,,1464.37
M000032_A148002-101-xxx_NA_1469.31_TRUE_VAR5_ALK_Glutamine [-H2O] (2TMS) BP,Glutamine,L-Glutamine,HMDB0000641,5961,18050,C00064,5614,C(CC(=O)N)[C@@H](C(=O)O)N,56-85-9,InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H.1-2.6H2.(H2.7.8)(H.9.10)/t3-/m0/s1,C11H24N2O2Si2,272.492,,1469.31
M000000_A148003-101-xxx_NA_1464.64_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1464.64
M000000_A148004-101-xxx_NA_1456.38_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1456.38
M000000_A148006-101-xxx_NA_1467.28_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1467.28
M000000_A148008-101-xxx_NA_1455.67_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1455.67
M000516_A148009-101-xxx_NA_1468.67_PRED_VAR5_ALK_Norvaline. DL- (3TMS),Norvaline. DL-,L-Proline,HMDB0000162,145742,17203,C00148,29,C1C[C@H](NC1)C(=O)O,2013/12/9,InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H.2-3.6H2.1H3.(H.7.8)/t4-/m1/s1,C14H35NO2Si3,333.69,,1468.67
M000000_A148010-101-xxx_NA_1472.28_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1472.28
M000936_A148011-101-xxx_NA_1488.47_TRUE_VAR5_ALK_Tartronic acid. 2-(methylaminomethyl)- (1MEOX) (2TMS),Tartronic acid. 2-(methylaminomethyl)-,,,,,,,,,InChI=1S/C5H9NO5/c1-6-2-5(11.3(7)8)4(9)10/h6.11H.2H2.1H3.(H.7.8)(H.9.10),C12H28N2O5Si2,336.533,,1488.47
M000937_A148012-101-xxx_NA_1489.46_TRUE_VAR5_ALK_Alanyl-alanine (1TMS),Alanyl-alanine,D-Alanyl-D-alanine,HMDB0003459,5460362,16576,C00993,6937,C[C@H](C(=O)N[C@H](C)C(=O)O)N,1948-31-8,InChI=1S/C6H12N2O3/c1-3(7)5(9)8-4(2)6(10)11/h3-4H.7H2.1-2H3.(H.8.9)(H.10.11)/t3-.4-/m0/s1,C9H20N2O3Si,232.353,,1489.46
M000935_A148013-101-xxx_NA_1486.08_TRUE_VAR5_ALK_Thymine. 5.6-dihydro- (2TMS),Thymine. 5.6-dihydro-,Dihydrothymine,HMDB0000079,93556,27468,C00906,5135,CC1CNC(=O)NC1=O,,InChI=1S/C5H8N2O2/c1-3-2-6-5(9)7-4(3)8/h3H.2H2.1H3.(H2.6.7.8.9),C11H24N2O2Si2,272.492,,1486.08
M000938_A148014-101-xxx_NA_1488.05_TRUE_VAR5_ALK_Butanoic acid. 4-acetamido- (2TMS),Butanoic acid. 4-acetamido-,4-Acetamidobutanoic acid,HMDB0003681,18189,17645,C02946,,CC(=O)NCCCC(=O)O,,InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2.1H3.(H.7.8)(H.9.10),C12H27NO3Si2,289.519,,1488.05
M001164_A148015-101-xxx_NA_1480.26_TRUE_VAR5_ALK_Methionine. seleno- (1TMS),Methionine. seleno-,Selenomethionine,HMDB0003966,15103,27585,C05335,6993,C[Se]CCC(C(=O)O)N,3211-76-5,InChI=1S/C5H11NO2Se/c1-9-3-2-4(6)5(7)8/h4H.2-3.6H2.1H3.(H.7.8)/t4-/m0/s1,C8H17NO2SSeSi,298.337,,1480.26
M000939_A148016-101-xxx_NA_1489.29_TRUE_VAR5_ALK_Acetic acid. 4-chlorophenyl- (1TMS),Acetic acid. 4-chlorophenyl-,4-Chlorophenylacetate,METPA0358,,,C03077,,,1878-66-6,InChI=1S/C8H7ClO2/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4H.5H2.(H.10.11),C11H15ClO2Si,242.774,,1489.29
M000000_A148018-101-xxx_NA_1484.47_TRUE_VAR5_ALK_NA148018,NA148018,,,,,,,,,,,,,1484.47
M000000_A148019-101-xxx_NA_1473.19_PRED_VAR5_ALK_Unknown#sst-cgl-029,Unknown#sst-cgl-029,,,,,,,,,,,,,1473.19
M000000_A148020-101-xxx_NA_1479.72_PRED_VAR5_ALK_Unknown#bth-pae-061,Unknown#bth-pae-061,,,,,,,,,,,,,1479.72
M000065_A149001-101-xxx_NA_1478.99_TRUE_VAR5_ALK_Malic acid (3TMS),Malic acid,L-Malic acid,HMDB0000156,222656,30797,C00149,118,C([C@@H](C(=O)O)O)C(=O)O,6915-15-7,InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2.5H.1H2.(H.6.7)(H.8.9),C13H30O5Si3,350.631,,1478.99
M000469_A149002-101-xxx_NA_1485.23_TRUE_VAR5_ALK_Threitol (4TMS),Threitol,Erythritol,HMDB0002994,222285,17113,C00503,140,C([C@H]([C@H](CO)O)O)O,6968-16-7,InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H.1-2H2,C16H42O4Si4,410.845,,1485.23
M000000_A149003-101-xxx_NA_1470.71_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1470.71
M000265_A149004-101-xxx_NA_1493.44_TRUE_VAR5_ALK_Homoserine lactone (2TMS),Homoserine lactone,L-3-Aminodihydro-2(3H)-furanone,HMDB0029387,73509,17289,C02926,,C1COC(=O)C1N,1192-20-7,InChI=1S/C4H7NO2/c5-3-1-2-7-4(3)6/h3H.1-2.5H2,C10H23NO2Si2,245.466,,1493.44
M000470_A149005-101-xxx_NA_1352.4_TRUE_VAR5_ALK_Butane. 1.2.4-trihydroxy- (3TMS),Butane. 1.2.4-trihydroxy-,,,,,,,,3068-00-6,InChI=1S/C4H10O3/c5-2-1-4(7)3-6/h4-7H.1-3H2,C13H34O3Si3,322.664,,1352.4
M000115_A149006-101-xxx_NA_1494.48_TRUE_VAR5_ALK_Anthranilic acid (1TMS),Anthranilic acid,2-Aminobenzoic acid,HMDB0001123,227,30754,C00108,6018,C1=CC=C(C(=C1)C(=O)O)N,,InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H.8H2.(H.9.10),C10H15NO2Si,209.317,,1494.48
M000875_A149007-101-xxx_NA_1497.4_TRUE_VAR5_ALK_Malonamide (2TMS),Malonamide,,,,,,,,,InChI=1S/C3H6N2O2/c4-2(6)1-3(5)7/h1H2.(H2.4.6)(H2.5.7),C9H22N2O2Si2,246.454,,1497.4
M000918_A149009-101-xxx_NA_1520.64_TRUE_VAR5_ALK_Tartronic acid (4TMS),Tartronic acid,Hydroxypropanedioic acid,HMDB0035227,45,16513,C02287,,C(C(=O)O)(C(=O)O)O,,InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1.4H.(H.5.6)(H.7.8),C15H36O5Si4,408.786,,1520.64
M000000_A149010-101-xxx_NA_1492.48_TRUE_VAR5_ALK_NA_204_189_133_105_91,NA_204_189_133_105_91,,,,,,,,,,,,,1492.48
M000000_A149011-101-xxx_NA_1491.17_TRUE_VAR5_ALK_NA_204_189_119_93,NA_204_189_119_93,,,,,,,,,,,,,1491.17
M000000_A149012-101-xxx_NA_1492.54_TRUE_VAR5_ALK_NA149012,NA149012,,,,,,,,,,,,,1492.54
M000000_A149013-101-xxx_NA_1483.88_PRED_VAR5_ALK_4-Hydroxybenzaldehyde_2_1MeOX_1TMS,4-Hydroxybenzaldehyde_21TMS,,,,,,,,,,,,,1483.88
M000535_A150001-101-xxx_NA_1500_TRUE_VAR5_ALK_Pentadecane. n-,Pentadecane. n-,NA,,,,,,,629-62-9,InChI=1S/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2.1-2H3,C15H32,212.415,,1500
M000054_A150002-101-xxx_NA_1493.27_TRUE_VAR5_ALK_Erythritol (4TMS),Erythritol,Erythritol,HMDB0002994,222285,17113,C00503,140,C([C@H]([C@H](CO)O)O)O,149-32-6,InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H.1-2H2/t3-.4+,C16H42O4Si4,410.845,,1493.27
M000000_A150003-101-xxx_NA_1486.57_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1486.57
M000271_A150004-101-xxx_NA_1489.26_TRUE_VAR5_ALK_Nicotinamide (1TMS),Nicotinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,C1=CC(=CN=C1)C(=O)N,98-92-0,InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H.(H2.7.9),C9H14N2OSi,194.306,,1489.26
M000666_A150005-101-xxx_NA_1625.77_TRUE_VAR5_ALK_Butyric acid. 2.4-diamino-. DL- (5TMS),Butyric acid. 2.4-diamino-. DL-,"L-2,4-diaminobutyric acid",HMDB0006284,134490,,C03283,,C(CN)[C@@H](C(=O)O)N,1758-80-1,InChI=1S/C4H10N2O2/c5-2-1-3(6)4(7)8/h3H.1-2.5-6H2.(H.7.8)/t3-/m0/s1,C19H50N2O2Si5,479.04,,1625.77
M000940_A150006-101-xxx_NA_1504.91_TRUE_VAR5_ALK_Sorbitol. 1.4:3.6-dianhydro- (2TMS),Sorbitol. 1.4:3.6-dianhydro-,,,,,,,,,InChI=1S/C6H10O4/c7-3-1-9-6-4(8)2-10-5(3)6/h3-8H.1-2H2/t3-.4+.5-.6-/m1/s1,C12H26O4Si2,290.504,,1504.91
M000938_A150007-101-xxx_NA_1508.13_TRUE_VAR5_ALK_Butanoic acid. 4-acetamido- (1TMS),Butanoic acid. 4-acetamido-,4-Acetamidobutanoic acid,HMDB0003681,18189,17645,C02946,,CC(=O)NCCCC(=O)O,,InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2.1H3.(H.7.8)(H.9.10),C9H19NO3Si,217.338,,1508.13
M000941_A150008-101-xxx_NA_1507.73_TRUE_VAR5_ALK_Hexenedioic acid. 3-trans- (2TMS),Hexenedioic acid. 3-trans-,"2-Oxo-2,3-dihydrofuran-5-acetate",METPA0411,,,C03586,,,,InChI=1S/C6H8O4/c7-5(8)3-1-2-4-6(9)10/h1-2H.3-4H2.(H.7.8)(H.9.10)/b2-1+,C12H24O4Si2,288.488,,1507.73
M000000_A150012-101-xxx_NA_1502.3_TRUE_VAR5_ALK_NA_204_161_105,NA_204_161_105,,,,,,,,,,,,,1502.3
M001216_A150013-101-xxx_NA_1504.44_TRUE_VAR5_ALK_3-Hydroxyundecan-4-one (1MEOX) (1TMS),3-Hydroxyundecan-4-one,,,,,,,,,InChI=1S/C11H22O2/c1-3-5-6-7-8-9-11(13)10(12)4-2/h10.12H.3-9H2.1-2H3/t10-/m0/s1,C15H33NO2Si,287.514,,1504.44
M000000_A150014-101-xxx_NA_1493.64_PRED_VAR5_ALK_4-Hydroxybenzaldehyde_1_1MeOX_1TMS,4-Hydroxybenzaldehyde_11TMS,,,,,,,,,,,,,1493.64
M000023_A151001-101-xxx_NA_1505.32_TRUE_VAR5_ALK_Serine. N-acetyl- (2TMS),Serine. N-acetyl-,,,,,,,,97-14-3,InChI=1S/C5H9NO4/c1-3(8)6-4(2-7)5(9)10/h4.7H.2H2.1H3.(H.6.8)(H.9.10),C11H25NO4Si2,291.492,,1505.32
M000013_A151002-101-xxx_NA_1501.28_TRUE_VAR5_ALK_Asparagine [-H2O] (2TMS),Asparagine,L-Asparagine,HMDB0000168,6267,17196,C00152,14,C([C@@H](C(=O)O)N)C(=O)N,70-47-3,InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H.1.5H2.(H2.6.7)(H.8.9)/t2-/m0/s1,C10H22N2O2Si2,258.465,,1501.28
M000000_A151003-101-xxx_NA_1505.24_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1505.24
M000000_A151004-101-xxx_NA_1494.15_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1494.15
M000186_A151005-101-xxx_NA_1506.15_TRUE_VAR5_ALK_Putrescine (3TMS),Putrescine,Putrescine,HMDB0001414,1045,17148,C00134,3226,C(CCN)CN,110-60-1,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2,C13H36N2Si3,304.695,,1506.15
M000471_A151006-101-xxx_NA_1500.92_TRUE_VAR5_ALK_Adipic acid (2TMS),Adipic acid,Adipic acid,HMDB0000448,196,30832,C06104,115,C(CCC(=O)O)CC(=O)O,124-04-9,InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2.(H.7.8)(H.9.10),C12H26O4Si2,290.504,,1500.92
M000000_A151008-101-xxx_NA_1497.74_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1497.74
M000037_A151009-101-xxx_NA_1508.58_TRUE_VAR5_ALK_Pyroglutamic acid (1TMS),Pyroglutamic acid,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,C1CC(=O)N[C@@H]1C(=O)O,149-87-1,InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H.1-2H2.(H.6.7)(H.8.9),C8H15NO3Si,201.295,,1508.58
M000000_A151011-101-xxx_NA_1522.47_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1522.47
M000602_A151013-101-xxx_NA_1512.96_TRUE_VAR5_ALK_Adipo-2.6-lactam (2TMS),Adipo-2.6-lactam,,,,,,,,,InChI=1S/C6H9NO3/c8-5-3-1-2-4(7-5)6(9)10/h4H.1-3H2.(H.7.8)(H.9.10),C12H25NO3Si2,287.503,,1512.96
M000942_A151014-101-xxx_NA_1512.26_TRUE_VAR5_ALK_Purine (1TMS),Purine,Purine,HMDB0001366,1044,17258,C15587,6193,C1=C2C(=NC=N1)N=CN2,,InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H.(H.6.7.8.9),C8H12N4Si,192.294,,1512.26
M000943_A151015-101-xxx_NA_1512.77_TRUE_VAR5_ALK_Anabasine,Anabasine,Anabasine,HMDB0004350,2181,28986,C06180,3283,C1CCNC(C1)C2=CN=CC=C2,13078-04-1,InChI=1S/C10H14N2/c1-2-7-12-10(5-1)9-4-3-6-11-8-9/h3-4.6.8.10.12H.1-2.5.7H2,C10H14N2,162.232,,1512.77
M000944_A151016-101-xxx_NA_1516.39_TRUE_VAR5_ALK_Naphthalene. 1.8-ethylene-,Naphthalene. 1.8-ethylene-,NA,,,,,,,,InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H.7-8H2,C12H10,154.208,,1516.39
M000926_A151017-101-xxx_NA_1515.79_TRUE_VAR5_ALK_Glycine. 2-phenyl- (2TMS),Glycine. 2-phenyl-,NA,,,,,,,,InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5.7H.9H2.(H.10.11),C14H25NO2Si2,295.525,,1515.79
M000931_A151020-101-xxx_NA_1521.37_TRUE_VAR5_ALK_Iminodiacetic acid (3TMS),Iminodiacetic acid,,,8897,24786,,,,,InChI=1S/C4H7NO4/c6-3(7)1-5-2-4(8)9/h5H.1-2H2.(H.6.7)(H.8.9),C13H31NO4Si3,349.646,,1521.37
M001194_A151022-101-xxx_NA_1514.37_TRUE_VAR5_ALK_N-methyl cis-4-hydroxymethyl-L-proline (2TMS),N-methyl cis-4-hydroxymethyl-L-proline,,,,,,,,,InChI=1S/C7H13NO3/c1-8-3-5(4-9)2-6(8)7(10)11/h5-6.9H.2-4H2.1H3.(H.10.11)/t5-.6-/m0/s1,C13H29NO3Si2,303.546,,1514.37
M001209_A151023-101-xxx_NA_1513.09_TRUE_VAR5_ALK_Trigonelline (1TMS),Trigonelline,Trigonelline,HMDB0000875,5570,18123,C01004,273,C[N+]1=CC=CC(=C1)C(=O)[O-],,InChI=1S/C7H8NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H.1H3.(H.9.10),C10H16NO2Si,210.325,,1513.09
M000000_A151024-101-xxx_NA_1519.08_TRUE_VAR5_ALK_NA151024,NA151024,,,,,,,,,,,,,1519.08
M000000_A151025-101-xxx_NA_1501.11_PRED_VAR5_ALK_1-Pyrroline-3-hydroxy-5-carboxylic-acid_2TMS,1-Pyrroline-3-hydroxy-5-carboxylic-acid,,,,,,,,,,,,,1501.11
M000000_A151026-101-xxx_NA_1502.83_PRED_VAR5_ALK_2-Decenoic-acid_1TMS,2-Decenoic-acid,,,,,,,,,,,,,1502.83
M000018_A152001-101-xxx_NA_1515.87_TRUE_VAR5_ALK_Methionine (2TMS),Methionine,L-Methionine,HMDB0000696,6137,16643,C00073,5664,CSCC[C@@H](C(=O)O)N,63-68-3,InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H.2-3.6H2.1H3.(H.7.8)/t4-/m0/s1,C11H27NO2SSi2,293.575,,1515.87
M000033_A152002-101-xxx_NA_1510.94_TRUE_VAR5_ALK_Aspartic acid (3TMS),Aspartic acid,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,C([C@@H](C(=O)O)N)C(=O)O,617-45-8,InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H.1.5H2.(H.6.7)(H.8.9),C13H31NO4Si3,CKLJMWTZIZZHCS-UHFFFAOYSA-N,,1510.94
M000220_A152003-101-xxx_NA_1508.12_TRUE_VAR5_ALK_Salicylic acid (2TMS),Salicylic acid,Salicylic acid,HMDB0001895,338,16914,C00805,616,C1=CC=C(C(=C1)C(=O)O)O,69-72-7,InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4.8H.(H.9.10),C13H22O3Si2,282.483,,1508.12
M000000_A152004-101-xxx_NA_1505.12_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1505.12
M000945_A152005-101-xxx_NA_1528.61_TRUE_VAR5_ALK_Glutamic acid. N-methyl- (2TMS),Glutamic acid. N-methyl-,NA,,,,,,,,InChI=1S/C6H11NO4/c1-7-4(6(10)11)2-3-5(8)9/h4.7H.2-3H2.1H3.(H.8.9)(H.10.11)/t4-/m0/s1,C12H27NO4Si2,305.518,,1528.61
M000925_A152006-101-xxx_NA_1527.18_TRUE_VAR5_ALK_Maleamic acid (3TMS),Maleamic acid,Maleamate,METPA0190,,,C01596,,,557-24-4,InChI=1S/C4H5NO3/c5-3(6)1-2-4(7)8/h1-2H.(H2.5.6)(H.7.8)/b2-1-,C13H29NO3Si3,331.631,,1527.18
M000946_A152007-101-xxx_NA_1525.48_TRUE_VAR5_ALK_Acetonitrile. 4-hydroxyphenyl- (1TMS),Acetonitrile. 4-hydroxyphenyl-,4-Hydroxybenzeneacetonitrile,HMDB0029757,26548,16667,C03766,,C1=CC(=CC=C1CC#N)O,,InChI=1S/C8H7NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4.10H.5H2,C11H15NOSi,205.329,,1525.48
M000034_A152008-101-xxx_NA_1524.11_TRUE_VAR5_ALK_Proline. 4-hydroxy-. cis- (3TMS),Proline. 4-hydroxy-. cis-,4-Hydroxy-L-proline,HMDB0006055,69248,18240,C01015,,C1[C@H](NCC1O)C(=O)O,,InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4.6-7H.1-2H2.(H.8.9),C14H33NO3Si3,PMMYEEVYMWASQN-UHFFFAOYSA-N,,1524.11
M000947_A152009-101-xxx_NA_1522.99_TRUE_VAR5_ALK_Phosphonoacetic acid (3TMS),Phosphonoacetic acid,Phosphonoacetate,HMDB0004110,546,15732,C05682,7018,C(C(=O)O)P(=O)(O)O,4408-78-0,InChI=1S/C2H5O5P/c3-2(4)1-8(5.6)7/h1H2.(H.3.4)(H2.5.6.7),C11H29O5PSi3,356.575,,1522.99
M000034_A153001-101-xxx_NA_1517.3_TRUE_VAR5_ALK_Proline. 4-hydroxy-. trans- (3TMS),Proline. 4-hydroxy-. trans-,4-Hydroxy-L-proline,HMDB0006055,69248,18240,C01015,,C1[C@H](NCC1O)C(=O)O,51-35-4,InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4.6-7H.1-2H2.(H.8.9)/t3-.4+/m1/s1,C14H33NO3Si3,PMMYEEVYMWASQN-DMTCNVIQSA-N,,1517.3
M000037_A153002-101-xxx_NA_1521.72_TRUE_VAR5_ALK_Pyroglutamic acid (2TMS),Pyroglutamic acid,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,C1CC(=O)N[C@@H]1C(=O)O,149-87-1,InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H.1-2H2.(H.6.7)(H.8.9),C11H23NO3Si2,273.477,,1521.72
M000114_A153003-101-xxx_NA_1526.01_TRUE_VAR5_ALK_Butanoic acid. 4-amino- (3TMS),Butanoic acid. 4-amino-,Gamma-Aminobutyric acid,HMDB0000112,119,16865,C00334,,C(CC(=O)O)CN,1956/12/2,InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3.5H2.(H.6.7),C13H33NO2Si3,319.663,,1526.01
M000000_A153004-101-xxx_NA_1518.26_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1518.26
