"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1116","Gulose","L-Gulose","HMDB0012326","10130220","37704","C15923",NA,"C([C@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1117","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1118","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1119","Cinnamic acid. 3.4-dimethoxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"1120","Cinnamic acid. 3-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1121","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1122","Calystegine B1","NA","NA","NA","NA","NA","NA","NA","0"
"1123","Galactose. 2-amino-2-deoxy-. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1124","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1125","Indole-3-acetonitrile","3-Indoleacetonitrile","HMDB0006524","351795","17566","C02938",NA,"C1=CC=C2C(=C1)C(=CN2)CC#N","1"
"1126","Cysteinesulfinic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1127","Hydantoin. 5-propionate-","NA","NA","NA","NA","NA","NA","NA","0"
"1128","Lysine. N-epsilon-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1129","Orotic acid. 4.5-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"1130","Artemisinic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1131","NA_234_161_81","NA","NA","NA","NA","NA","NA","NA","0"
"1132","N-(3-Oxohexanoyl)-homoserine-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1133","Chorismic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"1134","Mannose","D-Mannose","HMDB0000169","18950","4208","C00159",NA,"C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1135","Glucose","D-Glucose","HMDB0000122","5793","4167","C00031","133","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"1136","Galactonic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1137","Gluconic acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"1138","Glucopyranose. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1139","Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"1140","Allantoin","Allantoin","HMDB0000462","204","15676","C01551","89","C1(C(=O)NC(=O)N1)NC(=O)N","1"
"1141","Gluconic acid-1.5-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1142","Altrose","NA","NA","NA","NA","NA","NA","NA","0"
"1143","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1144","Inositol. allo-","NA","NA","NA","NA","NA","NA","NA","0"
"1145","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1146","Gluconic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1147","Glucuronic acid-3.6-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1148","Pyridoxine","Pyridoxine","HMDB0000239","1054","16709","C00314","5245","CC1=NC=C(C(=C1O)CO)CO","1"
"1149","Sebacic acid","Sebacic acid","HMDB0000792","5192","41865","C08277","4240","C(CCCCC(=O)O)CCCC(=O)O","1"
"1150","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1151","Ornithine. N2-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1152","Pentadecanoic acid. 14-methyl-. methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1153","Homoserine lactone. N-2-oxocaproyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1154","Lactic acid. 3-(4-hydroxyphenyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1155","Propanoic acid. 3-amino-3-(4-hydroxyphenyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1156","Tyrosine. meta-","NA","NA","NA","NA","NA","NA","NA","0"
"1157","NA_234_161_105","NA","NA","NA","NA","NA","NA","NA","0"
"1158","NA189027","NA","NA","NA","NA","NA","NA","NA","0"
"1159","Nonadecane","Nonadecane","HMDB0034289","12401","32927","",NA,"CCCCCCCCCCCCCCCCCCC","1"
"1160","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1161","Gulose","L-Gulose","HMDB0012326","10130220","37704","C15923",NA,"C([C@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1162","Allose","Allose","HMDB0001151","12285879","37741","C01487","348","C([C@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"1163","Altrose","NA","NA","NA","NA","NA","NA","NA","0"
"1164","Talose","NA","NA","NA","NA","NA","NA","NA","0"
"1165","Glucopyranoside. 1-O-methyl-. beta-D-","NA","NA","NA","NA","NA","NA","NA","0"
"1166","Calystegine B3","NA","NA","NA","NA","NA","NA","NA","0"
"1167","Calystegine C1","Calystegine C1","HMDB0031346","3851514",NA,"",NA,"C1C(C2C(C(C(C1(N2)O)O)O)O)O","1"
"1168","Erythrose-4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","48153","C00279","6158","C([C@H]([C@H](C=O)O)O)OP(=O)(O)O","1"
"1169","Glutamine. N-acetyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"1170","Indole-3-ethanol. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
"1171","Pyruvic acid. 4-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1172","Hexadecenoic acid methyl ester. 9-(Z)-. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1173","Metanephrine","Metanephrine","HMDB0004063","21100","144365","C05588","65","CNCC(C1=CC(=C(C=C1)O)OC)O","1"
"1174","Homoserine lactone. N-octanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1175","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1176","Galactose_3","NA","NA","NA","NA","NA","NA","NA","0"
"1177","Glucose","D-Glucose","HMDB0000122","5793","4167","C00031","133","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"1178","Galactose","D-Galactose","HMDB0000143","439357","28061","C00984","134","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O","1"
"1179","Adenine","Adenine","HMDB0000034","190","16708","C00147","85","C1=NC2=C(N1)C(=NC=N2)N","1"
"1180","Tyramine","Tyramine","HMDB0000306","5610","15760","C00483","60","C1=CC(=CC=C1CCN)O","1"
"1181","Idose","NA","NA","NA","NA","NA","NA","NA","0"
"1182","Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","C1=CC=C2C(=C1)C(=CN2)CC=O","1"
"1183","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1184","Erythrose-4-phosphate","D-Erythrose 4-phosphate","HMDB0001321","122357","48153","C00279","6158","C([C@H]([C@H](C=O)O)O)OP(=O)(O)O","1"
"1185","Adenine","Adenine","HMDB0000034","190","16708","C00147","85","C1=NC2=C(N1)C(=NC=N2)N","1"
"1186","Hydantoin. 5-(4-hydroxybutyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1187","Octanoic acid. 8-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"1188","Mandelic acid. 3.4-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1189","NA192001 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1190","Ferulic acid. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"1191","Lysine","L-Lysine","HMDB0000182","5962","18019","C00047","5200","C(CCN)C[C@@H](C(=O)O)N","1"
"1192","Gulonic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1193","Histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","C1=C(NC=N1)C[C@@H](C(=O)O)N","1"
"1194","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1195","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1196","Indole-3-acetaldehyde","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","C1=CC=C2C(=C1)C(=CN2)CC=O","1"
"1197","Glucuronic acid-3.6-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1198","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1199","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1200","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1201","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1202","Glucose. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1203","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1204","Arabinoheptulosonic acid enol. 3-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1205","Cyclohexene-1.2.3.4-tetrol epoxide. (1alpha.2beta.3alpha.4beta)-","NA","NA","NA","NA","NA","NA","NA","0"
"1206","D192781","NA","NA","NA","NA","NA","NA","NA","0"
"1207","Sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"1208","Mannitol","Mannitol","HMDB0000765","6251","16899","C00392","142","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O","1"
"1209","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1210","Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","42717","C00191","161","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"1211","Hexadecan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1212","Glucose. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1213","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1214","Hexadecanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1215","3.4-Dihydroxybenzylamine","NA","NA","NA","NA","NA","NA","NA","0"
"1216","Galactose. 2-amino-2-deoxy-. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1217","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1218","Sequoyitol. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1219","Glutamine. N-acetyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"1220","Glucose. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1221","Glucose. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1222","Panthenol","NA","NA","NA","NA","NA","NA","NA","0"
"1223","Aspartic acid. N-(aminocarbonyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1224","Theophylline","Theophylline","HMDB0001889","2153","28177","C07130","1458","CN1C2=C(C(=O)N(C1=O)C)NC=N2","1"
"1225","Hydantoin. 5-propionate-","NA","NA","NA","NA","NA","NA","NA","0"
"1226","Pyridoxamine","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=NC=C(C(=C1O)CN)CO","1"
"1227","N6-Acetyl-lysine","NA","NA","NA","NA","NA","NA","NA","0"
"1228","Galactitol","Galactitol","HMDB0000107","11850","16813","C01697","5148","C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"1229","Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","C1=CC(=CC=C1C[C@@H](C(=O)O)N)O","1"
"1230","Galacturonic acid","Galacturonic acid","HMDB0002545","84740","47962","C08348","6713","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"1231","Indole-3-acetic acid. 1H-","NA","NA","NA","NA","NA","NA","NA","0"
"1232","Coniferylalcohol. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1233","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1234","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1235","Calystegine C1","Calystegine C1","HMDB0031346","3851514",NA,"",NA,"C1C(C2C(C(C(C1(N2)O)O)O)O)O","1"
"1236","Glucaric acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"1237","Gallic acid ethyl ester","Ethyl gallate","HMDB0033836","13250","87247","",NA,"CCOC(=O)C1=CC(=C(C(=C1)O)O)O","1"
"1238","Hydrocaffeic acid","3,4-Dihydroxyhydrocinnamic acid","HMDB0000423","348154","48400","C10447","5412","C1=CC(=C(C=C1CCC(=O)O)O)O","1"
"1239","Galactose. 2-amino-2-deoxy-. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1240","Hippuric acid. 2-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1241","Mannosamine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1242","4-Pyridoxic acid","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(C(=C1O)C(=O)O)CO","1"
"1243","3-(2.4-Dihydroxyphenyl)-propanoic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1244","Swainsonine","NA","NA","NA","NA","NA","NA","NA","0"
"1245","Cinnamic acid. 4-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1246","Ascorbic acid","Ascorbic acid","HMDB0000044","54670067","17208","C00072","3753","C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","1"
"1247","Pentadecanoic acid","Pentadecanoic acid","HMDB0000826","13849",NA,"C16537","5789","CCCCCCCCCCCCCCC(=O)O","1"
"1248","Glucuronic acid","D-Glucuronic acid","HMDB0000127","444791","42717","C00191","161","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"1249","Ononitol","D-4-O-Methyl-myo-inositol","HMDB0029915",NA,"18266","C06352",NA,"CO[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"1250","Coniferylaldehyde. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1251","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1252","Calystegine B2. N-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1253","Calystegine B2. N-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1254","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1255","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1256","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1257","Pyruvic acid. 4-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1258","Cembrene","NA","NA","NA","NA","NA","NA","NA","0"
"1259","Homoserine lactone. N-octanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1260","Hydantoin. 5-(4-hydroxybutyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1261","Epinephrine","Epinephrine","HMDB0000068","5816","28918","C00788","5127","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","1"
"1262","Arabinoheptulosonic acid enol. 3-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1263","Tartronic acid semialdehyde (putative)","NA","NA","NA","NA","NA","NA","NA","0"
"1264","Hexadec-9-enal","NA","NA","NA","NA","NA","NA","NA","0"
"1265","Unknown#sst-cgl-084","NA","NA","NA","NA","NA","NA","NA","0"
"1266","Gulonic acid","Gulonic acid","HMDB0003290","152304","16154","C00800","344","C([C@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O)O","1"
"1267","Isoascorbic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1268","Galacturonic acid","Galacturonic acid","HMDB0002545","84740","47962","C08348","6713","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"1269","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1270","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1271","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1272","Coniferylaldehyde. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1273","Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","C([C@@H](C(=O)O)N)C(=O)N","1"
"1274","Gallic acid","Gallic acid","HMDB0005807","370","30778","C01424","3295","C1=C(C=C(C(=C1O)O)O)C(=O)O","1"
"1275","Indole-3-acetic acid ethyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1276","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1277","similar to NA (Inositol like)","NA","NA","NA","NA","NA","NA","NA","0"
"1278","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1279","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1280","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1281","Ethanesulfonic acid. 2-cyclohexylamino-","NA","NA","NA","NA","NA","NA","NA","0"
"1282","NA_234_161_105_81","NA","NA","NA","NA","NA","NA","NA","0"
"1283","D196430","NA","NA","NA","NA","NA","NA","NA","0"
"1284","NA196028 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1285","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1286","similar to Glucopyranose","NA","NA","NA","NA","NA","NA","NA","0"
"1287","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1288","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1289","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1290","NA197007","NA","NA","NA","NA","NA","NA","NA","0"
"1291","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"1292","Canavanine","Canavanine","HMDB0002706","439202","405237","C00308","3238","C(CON=C(N)N)[C@@H](C(=O)O)N","1"
"1293","NA_234_161_105_190","NA","NA","NA","NA","NA","NA","NA","0"
"1294","Myristic-acid-amide","NA","NA","NA","NA","NA","NA","NA","0"
"1295","Indole-3-acetic acid","Indoleacetic acid","HMDB0000197","802","16411","C00954","5211","C1=CC=C2C(=C1)C(=CN2)CC(=O)O","1"
"1296","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1297","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1298","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1299","Calystegine B2","NA","NA","NA","NA","NA","NA","NA","0"
"1300","Glucopyranose. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1301","Chalcone methoxyamine","NA","NA","NA","NA","NA","NA","NA","0"
"1302","Calystegine B4","NA","NA","NA","NA","NA","NA","NA","0"
"1303","Glycyl-proline","NA","NA","NA","NA","NA","NA","NA","0"
"1304","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1305","Unknown#sst-cgl-087","NA","NA","NA","NA","NA","NA","NA","0"
"1306","Caffeic acid. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"1307","Galactonic acid","Galactonic acid","HMDB0000565","128869","16534","C00880","3336","C([C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O","1"
"1308","NA199003 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1309","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1310","Homoserine. O-succinyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1311","Indole-3-acetaldehyde enol","NA","NA","NA","NA","NA","NA","NA","0"
"1312","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"1313","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1314","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1315","Pimelic acid. 2.6-diamino-","NA","NA","NA","NA","NA","NA","NA","0"
"1316","Hexadecanoic acid. 15-methyl-. methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"1317","Pyruvic acid. 4-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1318","Homonojirimycin","NA","NA","NA","NA","NA","NA","NA","0"
"1319","NA199017","NA","NA","NA","NA","NA","NA","NA","0"
"1320","N-Acetylglucosamine-6-phosphoric-acid5TMS","NA","NA","NA","NA","NA","NA","NA","0"
"1321","Unknown#bth-pae-058","NA","NA","NA","NA","NA","NA","NA","0"
"1322","Unknown#sst-cgl-088","NA","NA","NA","NA","NA","NA","NA","0"
"1323","Gluconic acid","Gluconic acid","HMDB0000625","10690","33198","C00257","345","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O","1"
"1324","Ornithine. N2-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1325","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1326","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1327","Glutamine. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"1328","Pantothenic acid. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1329","Pantothenic acid. D-","NA","NA","NA","NA","NA","NA","NA","0"
"1330","Eicosane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1331","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1332","Gluconic acid. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1333","Cinnamic acid. 2.5-dimethoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1334","Acrylic acid. 4-imidazole-","NA","NA","NA","NA","NA","NA","NA","0"
"1335","Theobromine","Theobromine","HMDB0002825","5429","28946","C07480","1456","CN1C=NC2=C1C(=O)NC(=O)N2C","1"
"1336","D200302","NA","NA","NA","NA","NA","NA","NA","0"
"1337","D200830","NA","NA","NA","NA","NA","NA","NA","0"
"1338","Unknown#sst-cgl-089","NA","NA","NA","NA","NA","NA","NA","0"
"1339","Saccharic acid","Glucaric acid","HMDB0000663","33037","16002","C00818","5633","[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O","1"
"1340","NA201002 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1341","NA201004 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"1342","1.2.3-Propanetriol. 1-(4-hydroxy-3-methoxyphenyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"1343","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1344","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1345","Hexadecanoic acid methyl ester. 9.10-(Z)-methylene-","NA","NA","NA","NA","NA","NA","NA","0"
"1346","Pyridine-2.6-dicarboxylic acid","NA","NA","NA","NA","NA","NA","NA","0"
"1347","Xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"1348","NA_236_151_109_95","NA","NA","NA","NA","NA","NA","NA","0"
"1349","Hexadecenoic acid. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1350","similar to Inositol","NA","NA","NA","NA","NA","NA","NA","0"
"1351","Cinnamaldehyde. 3.5-dimethoxy-4-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1352","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1353","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1354","But-3-enoic acid. 2-amino-4-(2-aminoethoxy)-. (S)-trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1355","Tetradecanoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1356","Lysine. 5-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1357","Phenoxyacetic acid. 4-hydroxymethyl-3-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1358","NA_234_123_81","NA","NA","NA","NA","NA","NA","NA","0"
"1359","Octadecanal","Stearaldehyde","HMDB0002384","12533","17034","C01838",NA,"CCCCCCCCCCCCCCCCCC=O","1"
"1360","Unknown#sst-cgl-091","NA","NA","NA","NA","NA","NA","NA","0"
"1361","Octopamine","p-Octopamine","HMDB0004825","440266","44715","C04227","7087","C1=CC(=CC=C1[C@H](CN)O)O","1"
"1362","Hexadecenoic acid. 9-(Z)-","NA","NA","NA","NA","NA","NA","NA","0"
"1363","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1364","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1365","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1366","Heptadecan-1-ol. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1367","Heptadecanoic acid methyl ester. n-","NA","NA","NA","NA","NA","NA","NA","0"
"1368","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1369","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1370","Gallic acid propyl ester","Propyl gallate","HMDB0033835","4947",NA,"C11155",NA,"CCCOC(=O)C1=CC(=C(C(=C1)O)O)O","1"
"1371","Chalcone methoxyamine","NA","NA","NA","NA","NA","NA","NA","0"
"1372","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1373","Ribose-5-phosphate. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1374","Castanospermine","NA","NA","NA","NA","NA","NA","NA","0"
"1375","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1376","Hexadecenoic-acid_2","NA","NA","NA","NA","NA","NA","NA","0"
"1377","Galactaric acid","Galactaric acid","HMDB0000639","3037582","30852","C00879","5612","[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O","1"
"1378","Tyramine. 3-methoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1379","Ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","C(C[C@@H](C(=O)O)N)CN","1"
"1380","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1381","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1382","Cinnamic acid. 3.4-dimethoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1383","Cinnamic acid. 3.5-dimethoxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"1384","NA","NA","NA","NA","NA","NA","NA","NA","0"
"1385","Gluconic acid. 2-amino-2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"1386","Morpholine. 4-[3-[4-(1.1-dimethylethyl)phenyl]-2-methylpropyl]-2.6-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1387","Histidine. N-tau-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1388","NA_234_124_81","NA","NA","NA","NA","NA","NA","NA","0"
"1389","D204282","NA","NA","NA","NA","NA","NA","NA","0"
"1390","Myristic-acid-amide","NA","NA","NA","NA","NA","NA","NA","0"
"1391","Hexadecanoic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(=O)O","1"
"1392","Homoserine. O-succinyl-","NA","NA","NA","NA","NA","NA","NA","0"
"1393","NA","NA","NA","NA","NA","NA","NA","NA","0"
